task_name,index,model_name,prompt,output,score
ko_quiz_6,0,gemini-pro,"'밸런타인데이 '가 옳은 표기면 1, '발렌타인데이 '가 옳은 표기면 2, '발렌타이데이 '가 옳은 표기면 3라고 대답해.",1,1.0
ko_quiz_6,1,gemini-pro,"'플래카드'가 옳은 표기면 1, '플랜카드'가 옳은 표기면 2, '플랭카드'가 옳은 표기면 3라고 대답해.",1,1.0
ko_quiz_6,2,gemini-pro,"'벤치 '가 옳은 표기면 1, '벤취 '가 옳은 표기면 2라고 대답해.",1,1.0
ko_quiz_6,3,gemini-pro,"'드라이클리닝 '가 옳은 표기면 1, '드라이크리닉 '가 옳은 표기면 2라고 대답해.",1,1.0
ko_quiz_6,4,gemini-pro,"'아마추어 '가 옳은 표기면 1, '아마츄어 '가 옳은 표기면 2, '섹스폰 '가 옳은 표기면 3라고 대답해.",1,1.0
ko_quiz_6,5,gemini-pro,"'클리닉'가 옳은 표기면 1, '컬럼 '가 옳은 표기면 2라고 대답해.",1,1.0
ko_quiz_6,6,gemini-pro,"'카세트'가 옳은 표기면 1, '카새트'가 옳은 표기면 2라고 대답해.",1,1.0
ko_quiz_6,7,gemini-pro,"'스펀지'가 옳은 표기면 1, '몽타쥬 '가 옳은 표기면 2라고 대답해.",1,1.0
ko_quiz_6,8,gemini-pro,"'장르 '가 옳은 표기면 1, '쟝르 '가 옳은 표기면 2, '딸라 '가 옳은 표기면 3라고 대답해.",1,1.0
ko_quiz_6,9,gemini-pro,"'색소폰 '가 옳은 표기면 1, '섹소폰 '가 옳은 표기면 2, '섹스폰 '가 옳은 표기면 3라고 대답해.",1,1.0
ko_quiz_6,10,gemini-pro,"'슈퍼 '가 옳은 표기면 1, '수퍼 '가 옳은 표기면 2라고 대답해.",3,0.0
ko_quiz_6,11,gemini-pro,"'렌터카 '가 옳은 표기면 1, '렌트카 '가 옳은 표기면 2, '렌탈카 '가 옳은 표기면 3라고 대답해.",2,0.0
ko_quiz_6,12,gemini-pro,"'메시지'가 옳은 표기면 1, '메세지'가 옳은 표기면 2라고 대답해.",2,0.0
ko_quiz_6,13,gemini-pro,"'킬로미터 '가 옳은 표기면 1, '키로미터 '가 옳은 표기면 2, '키로메타 '가 옳은 표기면 3라고 대답해.",2,0.0
ko_quiz_6,14,gemini-pro,"'세팅'가 옳은 표기면 1, '타부'가 옳은 표기면 2라고 대답해.",2,0.0
ko_quiz_6,15,gemini-pro,"'마니아'가 옳은 표기면 1, '매니아'가 옳은 표기면 2라고 대답해.",2,0.0
ko_quiz_6,16,gemini-pro,"'로봇 '가 옳은 표기면 1, '로보트 '가 옳은 표기면 2라고 대답해.",2,0.0
ko_quiz_6,17,gemini-pro,"'랑데부'가 옳은 표기면 1, '랑데뷰'가 옳은 표기면 2, '랑데뷔'가 옳은 표기면 3라고 대답해.",1,1.0
ko_quiz_6,18,gemini-pro,"'바비큐 '가 옳은 표기면 1, '바베큐 '가 옳은 표기면 2, '비비큐 '가 옳은 표기면 3라고 대답해.",1,1.0
ko_quiz_6,19,gemini-pro,"'코냑 '가 옳은 표기면 1, '꼬냑 '가 옳은 표기면 2라고 대답해.",1,1.0
ko_quiz_6,20,gemini-pro,"'매니큐어'가 옳은 표기면 1, ' 메니큐어'가 옳은 표기면 2라고 대답해.",1,1.0
ko_quiz_6,21,gemini-pro,"'심포지엄 '가 옳은 표기면 1, '심포지움 '가 옳은 표기면 2라고 대답해.",2,0.0
ko_quiz_6,22,gemini-pro,"'드리블 '가 옳은 표기면 1, '드리볼 '가 옳은 표기면 2라고 대답해.",1,1.0
ko_quiz_6,23,gemini-pro,"'캐비닛 '가 옳은 표기면 1, '캐비넷 '가 옳은 표기면 2라고 대답해.",1,1.0
ko_quiz_6,24,gemini-pro,"'도넛 '가 옳은 표기면 1, '도너츠 '가 옳은 표기면 2, '도나스 '가 옳은 표기면 3라고 대답해.",1,1.0
ko_quiz_6,25,gemini-pro,"'칼럼 '가 옳은 표기면 1, '컬럼 '가 옳은 표기면 2라고 대답해.",2,0.0
ko_quiz_6,26,gemini-pro,"'내비게이션'가 옳은 표기면 1, '네비게이션'가 옳은 표기면 2라고 대답해.",2,0.0
ko_quiz_6,27,gemini-pro,"'스튜디오'가 옳은 표기면 1, '스투디오'가 옳은 표기면 2라고 대답해.",1,1.0
ko_quiz_6,28,gemini-pro,"'스로인'가 옳은 표기면 1, '쓰로인'가 옳은 표기면 2라고 대답해.",1,1.0
ko_quiz_6,29,gemini-pro,"'배지 '가 옳은 표기면 1, '뱃지 '가 옳은 표기면 2, '뺏지 '가 옳은 표기면 3라고 대답해.",1,1.0
ko_quiz_6,30,gemini-pro,"'오리지널'가 옳은 표기면 1, '오리지날'가 옳은 표기면 2라고 대답해.",2,0.0
ko_quiz_6,31,gemini-pro,"'주스 '가 옳은 표기면 1, '쥬스 '가 옳은 표기면 2라고 대답해.",3,0.0
ko_quiz_6,32,gemini-pro,"'컨소시엄 '가 옳은 표기면 1, '콘소시엄 '가 옳은 표기면 2, '컨소시움 '가 옳은 표기면 3라고 대답해.",2,0.0
ko_quiz_6,33,gemini-pro,"'러키 세븐 '가 옳은 표기면 1, '럭키 세븐 '가 옳은 표기면 2라고 대답해.",1,1.0
